STANDARD,NORMAL,DISTRIBUTION:,Table,Values,Represent,AREA,to,the,LEFT,of,the.1,Z,score.
Zz,0.0,01,.02,.03,4.0,05,06,7.0,0.08,.09,,,
-3.9,5e-05,.00005,.00004,.00004,4e-05,.00004,.00004,4e-05,3e-05,.00003,,,
-3.8,7e-05,.00007,.00007,.00006,6e-05,.00006,.00006,5e-05,5e-05,.00005,,,
-3.7,0.00011,.00010,.00010,.00010,9e-05,.00009,.00008,8e-05,8e-05,.00008,,,
-3.6,0.00016,.00015,.00015,.00014,0.00014,.00013,.00013,0.00012,0.00012,.00011,,,
-3.5,0.00023,.00022,.00022,.0002,1.0,.00020,.00019,0.00019,0.00018,.00017,0.00017,,
-3.4,0.00034,.00032,.0003,1,0.0003,.00029,.00028,0.00027,0.00026,.00025,0.00024,,
-3.3,0.00048,.00047,.00045,.00043,0.00042,.00040,.00039,0.00038,0.00036,.00035,,,
-3.2,0.00069,.00066,.00064,.00062,0.0006,.00058,.00056,0.00054,0.00052,.00050,,,
-3.1,0.00097,.00094,.00090,.00087,0.00084,.00082,.00079,0.00076,0.00074,.00071,,,
-3.0,0.00135,.00131,.00126,.00122,118.0,.00114,.OO111,0.00107,0.00104,.00100,,,
-2.9,0.00187,.00181,.00175,.00169,0.00164,.00159,.00154,0.00149,0.00144,.00139,,,
-2.8,0.00256,.00248,.00240,.00233,0.00226,.00219,.00212,0.00205,0.00199,.00193,,,
-2.7,0.00347,.00336,.00326,.00317,0.00307,.00298,.00289,0.0028,0.00272,.00264,,,
-2.6,0.00466,.00453,.00440,.00427,0.00415,.00402,.00391,0.00379,0.00368,.00357,,,
-2.5,0.0062,1,.00604,.00587,0.0057,.00554,.00539,0.00523,0.00508,.00494,0.0048,,
-2.4,0.0082,.00798,.00776,.00755,0.00734,.00714,.00695,0.00676,0.00657,.00639,,,
-2.3,0.01072,.01044,.O1017,.00990,0.00964,.00939,.00914,0.00889,0.00866,.00842,,,
-2.2,0.0139,.01355,.01321,.01287,0.01255,.01222,1191,0.0116,0.0113,.O1101,,,
-2.1,0.01786,.01743,.01700,.01659,0.01618,.O1578,01539,0.015,0.01463,.01426,,,
-2.0,0.02275,.02222,.02169,.02118,0.02068,.02018,.01970,0.01923,0.01876,.01831,,,
-1.9,0.02872,.02807,.02743,.02680,0.02619,.02559,.02500,0.02442,0.02385,.02330,,,
-1.8,0.03593,.03515,.03438,.03362,0.03288,.03216,.03144,0.03074,0.03005,.02938,,,
-1.7,0.04457,.04363,.04272,04182,0.04093,.04006,.03920,0.03836,0.03754,.03673,,,
-1.6,0.0548,.05370,.05262,.05155,0.0505,.04947,.04846,0.04746,0.04648,.04551,,,
-1.5,0.0668,|,.06552,.06426,0.06301,.06178,.06057,0.05938,0.05821,.05705,0.05592,,
-1.4,0.08076,.07927,.07780,.07636,0.07493,.07353,.07215,0.07078,0.06944,.06811,,,
-1.3,0.0968,.09510,.09342,.09176,0.09012,.0885,1,0.0869,1.0,.08534,0.08379,0.08226,
-1.2,0.11507,11314,11123,.10935,0.10749,.10565,.10383,0.10204,0.10027,.09853,,,
-L.1,13567.0,.13350,13136,12924,12714.0,12507,.12302,0.121,0.119,.11702,,,
-1.0,0.15866,.15625,15386,ASUS,14917.0,.14686,.14457,14231.0,0.14007,.13786,,,
-0.9,0.18406,18141,.17879,.17619,0.17361,.17106,16853,0.16602,16354.0,16109,,,
-0.8,21186.0,.20897,20611,.20327,0.20045,.19766,.19489,19215.0,18943.0,.18673,,,
-0.7,0.24196,.23885,.23576,.23270,0.22965,.22663,22363,0.22065,0.2177,21476,,,
-0.6,27425.0,.27093,.26763,26435,0.26109,25785,25463,25143.0,0.24825,.24510,,,
-0.5,30854.0,30503,30153,.29806,0.2946,29116,.28774,28434.0,0.28096,.27760,,,
-0.4,34458.0,34090,33724,33360,32997.0,32636,32276,31918.0,31561.0,31207,,,
-0.3,38209.0,37828,37448,37070,36693.0,36317,35942,35569.0,35197.0,34827,,,
-0.2,42074.0,41683,41294,.40905,40517.0,40129,39743,39358.0,38974.0,38591,,,
-0.1,46017.0,45620,45224,44828,44433.0,44038,43644,43251.0,42858.0,42465,,,
-0.0,0.5,49601,.49202,48803,0.48405,.48006,.47608,0.4721,46812.0,46414,,,
Zz,00,01,0.02,0.03,4.0,5.0,06,7.0,.08,.09,,,
0.0,|,.50000,50399.0,50798.0,1197.0,51595.0,51994,52392.0,52790,53188,53586.0,,
0.1,53983,54380,54776.0,55172.0,0.55567,55962.0,56356,56749.0,57142,57535,,,
0.2,57926,58317,58706.0,59095.0,59483.0,59871.0,.60257,0.60642,.61026,.61409,,,
0.3,61791,.62172,62552.0,0.6293,0.63307,63683.0,64058,64431.0,.64803,65173,,,
0.4,65542,.65910,0.66276,0.6664,0.67003,0.67364,.67724,0.68082,68439,68793,,,
0.5,69146,.69497,0.69847,0.70194,0.7054,0.10884,.71226,0.71566,.71904,.72240,,,
0.6,|,.72575,0.72907,0.73237,73565.0,0.73891,74215,0.74537,-74857,T5175,0.7549,,
0.7,.75804,7611S,0.76424,0.7673,0.77035,0.717337,.77637,0.77935,.78230,.78524,,,
0.8,|,.78814,0.79103,0.79389,0.19673,0.79955,80234,80511.0,80785,81057,81327.0,,
0.9,|,81594,81859.0,82121.0,82381.0,82639.0,82894,83147.0,83398,83646,83891.0,,
1.0,84134,84375,84614.0,0.84849,85083.0,85314.0,85543,85769.0,85993,86214,,,
Ll,86433,.86650,0.86864,0.87076,0.87286,87493.0,.87698,0.879,.88100,.88298,,,
1.2,88493,.88686,0.88877,89065.0,89251.0,89435.0,89617,0.89796,89973,.90147,,,
1.3,.90320,.90490,0.90658,0.90824,0.90988,91149.0,91309,0.91466,91621,91774,,,
1.4,91924,.92073,0.9222,0.92364,0.92507,0.92647,.92785,0.92922,.93056,.93189,,,
1.5,93319,.93448,93574.0,0.93699,0.93822,93943.0,.94062,94179.0,94295,.94408,,,
1.6,|,.94520,0.9463,0.94738,94845.0,0.9495,.95053,95154.0,95254,95352,95449.0,,
1.7,95543,95637,0.95728,95818.0,0.95907,0.95994,.96080,0.96164,.96246,.96327,,,
1.8,.96407,.96485,0.96562,0.96638,96712.0,0.96784,.96856,0.96926,.96995,.97062,,,
1.9,.97128,97193,97257.0,97320.0,97381.0,0.97441,.97500,97558.0,.97615,.97670,,,
2.0,97725,.97778,97831.0,97882.0,0.97932,0.97982,.98030,0.98077,98124,.98169,,,
2.1,98214,98257,0.983,98341.0,98382.0,98422.0,.98461,0.985,98537,.98574,,,
2.2,.98610,.98645,0.98679,98713.0,0.98745,0.98778,.98809,0.9884,.98870,.98899,,,
2.3,.98928,.98956,98983.0,0.9901,0.99036,0.99061,.99086,9111.0,99134,99158,,,
2.4,.99180,.99202,0.99224,99245.0,0.99266,0.99286,.99305,99324.0,99343,99361,,,
2.5,.99379,.99396,99413.0,0.9943,0.99446,0.99461,.99477,99492.0,.99506,99520,,,
2.6,99534,.99547,0.9956,99573.0,99585.0,99598.0,.99609,99621.0,.99632,99643,,,
2.7,99653,.99664,0.99674,99683.0,0.99693,0.99702,99711,0.9972,.99728,.99736,,,
2.8,.99744,99752,0.9976,0.99767,0.99774,0.9978,1,0.99788,99795,.99801,0.99807,,
2.9,99813,99819,99825.0,99831.0,0.99836,0.9984,1,0.99846,99851,.99856,0.99861,,
3.0,.99865,.99869,0.99874,0.99878,99882.0,0.99886,.99889,99893.0,.99896,.99900,,,
3.1,.99903,.99906,0.9991,99913.0,0.99916,99918.0,99921,99924.0,.99926,99929,,,
3.2,99931,99934,0.99936,0.99938,0.9994,99942.0,.99944,0.99946,.99948,.99950,,,
3.3,99952,99953,0.99955,99957.0,0.99958,0.9996,.99961,0.99962,.99964,.99965,,,
3.4,.99966,.99968,0.99969,0.9997,0.99971,0.99972,99973,0.99974,.99975,.99976,,,
3.5,99977,.99978,0.99978,0.99979,0.9998,0.9998,|,0.9998,|,.99982,99983.0,99983.0,
3.6,.99984,99985,99985.0,0.99986,0.99986,0.99987,.99987,99988.0,99988,99989,,,
3.7,99989,.99990,0.9999,0.9999,0.9999,1.0,.9999,1.0,.99992,.99992,0.99992,0.99992,
3.8,99993,99993,99993.0,0.99994,0.99994,0.99994,.99994,0.99995,.99995,.99995,,,
3.9,99995,.99995,0.99996,0.99996,0.99996,0.99996,.99996,0.99996,.99997,.99997,,,
